"http://ieeexplore.ieee.org/search/searchresult.jsp?bulkSetSize=57&matchBoolean%3Dtrue%26rowsPerPage%3D50%26searchField%3DSearch_All%26queryText%3D%28%28%28%28%28static%29+AND+code%29+AND+analysis%29+AND+software%29+AND+visualization%29",2014/10/23 18:15:41
"Document Title",Authors,"Author Affiliations","Publication Title","Publication Date","Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","DOE Terms","PACS Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Date Added To Xplore,"Meeting Date","Publisher","Sponsors",Document Identifier
"ClonEvol: Visualizing software evolution with code clones","Hanjalic, A.","Dept. of Comput. Sci., Univ. of Groningen, Groningen, Netherlands","Software Visualization (VISSOFT), 2013 First IEEE Working Conference on","27-28 Sept. 2013","2013","","","1","4","We present ClonEvol, a visual analysis tool that assists in obtaining insight into the state and the evolution of a C/C++/Java source code base on project, file and scope level. ClonEvol combines information obtained from the software versioning system and contents of files that change between versions; The tool operates as tool-chain of Subversion (SVN), Doxygen (applied as static analyzer) and Simian as code duplication detector. The consolidated information is presented to the user in an interactive visual manner. The focus of the presented tool lies on scalability (in time and space) concerning data acquisition, data processing and visualization, and ease of use. The visualization is approached by using a (mirrored) radial tree to show the file and scope structures, complemented with hierarchically bundled edges that show clone relations. We demonstrate the use of ClonEvol on a real world code base.","","","","10.1109/VISSOFT.2013.6650525","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6650525","Code Clones;Software Evolution Analysis;Software Visualization","Cloning;Data mining;Data visualization;Java;Scalability;Software;Visualization","configuration management;data visualisation;software engineering","C source code;C++ source code;ClonEvol visual analysis tool;Doxygen;Java source code;Simian;clone relations;code clones;code duplication detector;data acquisition;data processing;data visualization;file structures;radial tree;scope structures;software evolution visualization;software versioning system;subversion tool-chain","","","","0","","11","","","20131031","","IEEE","","IEEE Conference Publications"
"Magnify - A new tool for software visualization","Bartoszuk, C.; Timoszuk, G.; Dabrowski, R.; Stencel, K.","Inst. of Inf., Univ. of Warsaw, Warsaw, Poland","Computer Science and Information Systems (FedCSIS), 2013 Federated Conference on","8-11 Sept. 2013","2013","","","1485","1488","Modern software systems are inherently complex. Their maintenance is hardly possible without precise up-to-date documentation. It is often tricky to document dependencies among software components by only looking at the raw source code. We address these issues by researching new software analysis and visualization tools. In this paper we focus on software visualisation. Magnify is our new tool that performs static analysis and visualization of software. It parses the source code, identifies dependencies between code units and records all the collected information in a repository based on a language-independent graph-based data model. Nodes of the graph correspond to program entities of disparate granularity: methods, classes, packages etc. Edges represent dependencies and hierarchical structure. We use colours to reflect the quality, sizes to display the importance of artefacts, density of connections to portray the coupling. This kind of visualization gives bird's-eye view of the source code. It is always up to date, since the tool generates it automatically from the current revision of software. In this paper we discuss the design of the tool and present visualizations of sample open-source Java projects of various sizes.","","","","","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6644213","","Computer architecture;Data visualization;Java;Measurement;Software;Unified modeling language;Visualization","data models;graph theory;program diagnostics;program visualisation;software tools","Magnify tool;document dependency;hierarchical structure;language-independent graph-based data model;open-source Java projects;raw source code;software analysis;software components;software maintenance;software systems;software visualization tools","","","","0","","20","","","20131107","","IEEE","","IEEE Conference Publications"
"IMMV: An interactive multi-matrix visualization for program comprehension","Abuthawabeh, A.; Zeckzer, D.","Tech. Univ. Kaiserslautern, Kaiserslautern, Germany","Software Visualization (VISSOFT), 2013 First IEEE Working Conference on","27-28 Sept. 2013","2013","","","1","4","Many visualization techniques are used by software engineers to understand and to analyze the static structure of software systems, with the static structure being extracted from the source code. However, the need for scalable visualizations, which take into account the increasing number of code entities (classes and interfaces) and different types of code couplings (relations between them) in software systems, is still not sufficiently fulfilled. In this paper, we extend the design of an existing multi-matrix visualization approach to represent the static structure of software systems in a scalable way. First, we extended the data model and the algorithms. Second, we added more visualization and interaction elements. Finally, we incorporated the folding (collapsing) and the unfolding (expanding) of the package hierarchy, which have quadratic time complexity and quadratic space complexity in the number of nodes. This extended approach can be applied to support program comprehension and to analyze the static structure of software systems.","","","","10.1109/VISSOFT.2013.6650549","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6650549","","Algorithm design and analysis;Color;Complexity theory;Couplings;Software systems;Visualization","computational complexity;data visualisation;matrix algebra;program diagnostics","IMMV;code couplings;code entities;interaction elements;interactive multimatrix visualization;package hierarchy;program comprehension;quadratic space complexity;quadratic time complexity;scalable visualizations;software engineers;source code;static software systems structure;visualization elements;visualization techniques","","","","1","","13","","","20131031","","IEEE","","IEEE Conference Publications"
"The CONCEPT project - applying source code analysis to reduce information complexity of static and dynamic visualization techniques","Rilling, J.; Seffah, A.; Bouthlier, C.","Dept. of Comput. Sci., Concordia Univ., Montreal, Que., Canada","Visualizing Software for Understanding and Analysis, 2002. Proceedings. First International Workshop on","2002","2002","","","90","99","The goal of software visualization is to acquire sufficient knowledge about a software system by identifying program artifacts and understanding their relationships. Graphical representations have long been recognized as having an important impact in improving the comprehension of source code. In this paper, we present several visualization techniques that we combine with analytical source code analysis to reduce the amount and, therefore, the complexity of data that has to be displayed. In particular, we focus on static and dynamic program slicing and apply this source code analysis technique on tree maps, hyperbolic trees, and UML based visualization techniques to support programmers in creating better mental models of the source code. We also introduce our CONCEPT prototype and describe how the presented approaches can be applied to reduce the information complexity for particular source code comprehension applications.","","0-7695-1662-9","","10.1109/VISSOF.2002.1019798","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1019798","","Cognitive science;Computer displays;Computer science;Data visualization;Human computer interaction;Information analysis;Programming profession;Prototypes;Software systems;Unified modeling language","data visualisation;program slicing;software engineering;trees (mathematics)","CONCEPT project;UML;graphical representations;hyperbolic trees;program slicing;software visualization;source code analysis;tree maps","","","","0","1","","","","20020807","","IEEE","","IEEE Conference Publications"
"A three-dimensional visualization tool for software fault analysis of a distributed system","Amari, H.; Okada, M.","Comput. & Commun. R&D Center, Tokyo Electr. Power Co. Inc., Japan","Systems, Man, and Cybernetics, 1999. IEEE SMC '99 Conference Proceedings. 1999 IEEE International Conference on","1999","1999","4","","194","199 vol.4","We propose a software visualization tool named Software Visualization Supporting Space (SVSS) utilizing three-dimensional (3D) graphics in order to detect and analyze software faults in a large-scale distributed system. When a failure occurs in a software testing process, it is necessary for fault detection to inspect a large number of software processes from various viewpoints. 3D graphical representations allow a greater quantity of data as well as complex structures and relationships between components to be displayed on the screen effectively. SVSS can analyze the source code regularly to generate structural data of the target software. Moreover, it can also analyze the behavior of the processes using trace data obtained automatically by embedding a trace data acquisition function in the target machine. The results of these analysis functions can be visualized collectively on a common display so that the developer can trace execution flows and static connections simultaneously. The work reduction ratio using SVSS was estimated by sampling faults that had occurred in practical development of a distributed power control system","1062-922X","0-7803-5731-0","","10.1109/ICSMC.1999.812399","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=812399","","Data acquisition;Data visualization;Displays;Fault detection;Graphics;Large-scale systems;Power control;Sampling methods;Software testing;Software tools","data acquisition;distributed processing;power control;program debugging;program testing;program visualisation","3D graphics;Software Visualization Supporting Space;distributed power control system;distributed system;fault detection;sampling faults;software fault analysis;software testing;software visualization tool;source code;three-dimensional visualization tool;trace data acquisition function","","","","0","","11","","","20020806","12 Oct 1999-15 Oct 1999","IEEE","","IEEE Conference Publications"
"Identifying Structural Features of Java Programs by Analysing the Interaction of Classes at Runtime","Smith, M.P.; Munro, M.","Dept. of Comput. Sci., Durham Univ.","Visualizing Software for Understanding and Analysis, 2005. VISSOFT 2005. 3rd IEEE International Workshop on","0-0 0","2005","","","1","1","This paper describes research on visualising Java software at runtime in order to enable the identification of structural features. The aim is to highlight both the static and dynamic structure of the software and aid software engineers in tasks requiring program comprehension of the code. The paper takes the position that this type of analysis and visualisation for object oriented languages must be carried out with dynamic runtime information and that it cannot, in general, be obtained by static analysis alone. A case study is worked through to demonstrate the approach","","0-7803-9540-9","","10.1109/VISSOF.2005.1684316","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1684316","","Information analysis;Java;Programming profession;Runtime;Software debugging;Software engineering;Software maintenance;Software systems;Software testing;Visualization","Java;data flow analysis;program visualisation","Java programs;Java software visualisation;class interaction analysis;dynamic runtime information;object oriented languages;program code comprehension;software dynamic structure;software static structure;static analysis;structural feature identification","","","","0","5","8","","","20061009","","IEEE","","IEEE Conference Publications"
"Animated Visualization of Software History using Evolution Storyboards","Beyer, D.; Hassan, A.E.","EPFL","Reverse Engineering, 2006. WCRE '06. 13th Working Conference on","Oct. 2006","2006","","","199","210","The understanding of the structure of a software system can be improved by analyzing the system's evolution during development. Visualizations of software history that provide only static views do not capture the dynamic nature of software evolution. We present a new visualization technique, the Evolution Storyboard, which provides dynamic views of the evolution of a software's structure. An evolution storyboard consists of a sequence of animated panels, which highlight the structural changes in the system; one panel for each considered time period. Using storyboards, engineers can spot good design, signs of structural decay, or the spread of cross cutting concerns in the code. We implemented our concepts in a tool, which automatically extracts software dependency graphs from version control repositories and computes storyboards based on panels for different time periods. For applying our approach in practice, we provide a step by step guide that others can follow along the storyboard visualizations, in order to study the evolution of large systems. We have applied our method to several large open source software systems. In this paper, we demonstrate that our method provides additional information (compared to static views) on the ArgoUML project, an open source UML modeling tool","1095-1350","0-7695-2719-1","","10.1109/WCRE.2006.14","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4023990","","Animation;Automatic control;Data mining;Design engineering;History;Motion pictures;Software engineering;Software systems;Software tools;Visualization","Unified Modeling Language;computer animation;data visualisation;graph theory;program diagnostics;software reviews","ArgoUML project;UML modeling tool;animated visualization;evolution storyboards;open source software systems;software dependency graphs;software evolution;software history;software structure;software system;storyboard visualizations;version control repository;visualization technique","","","","15","","17","","","20061211","","IEEE","","IEEE Conference Publications"
"Viewing Object-Oriented Software with MetricAttitude: An Empirical Evaluation","Francese, R.; Risi, M.; Scanniello, G.; Tortora, G.","Univ. of Salerno, Salerno, Italy","Information Visualisation (IV), 2014 18th International Conference on","16-18 July 2014","2014","","","59","64","MetricAttitude is a visualization tool based on static analysis that provides a mental picture by viewing an object-oriented software system by means of polymetric views. In this paper, we present a preliminary empirical investigation based on a questionnaire-based survey to assess Metric Attitude with respect to source code comprehension tasks. Participants involved in this study were Computer Science students and software professionals. The results suggest that Metric Attitude is a viable means to comprehend source code and that both kinds of participants in the empirical investigation considered it to be appropriate in source code comprehension.","1550-6037","","","10.1109/IV.2014.42","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6902881","Program Comprehension;Reverse Engineering;Software Maintenance;Software Metrics;Software Visualization Tool","Abstracts;Color;Layout;Measurement;Software systems;Visualization","object-oriented methods;program diagnostics;program visualisation;source code (software)","MetricAttitude;computer science students;object-oriented software system;polymetric views;preliminary empirical investigation;questionnaire-based survey;software professionals;software visualization tool;source code comprehension;source code comprehension tasks;static analysis","","","","","","","","","20140922","","IEEE","","IEEE Conference Publications"
"Case study: Visual analytics in software product assessments","Telea, A.; Voinea, L.","Inst. for Math. & Comput. Sci., Univ. of Groningen, Groningen, Netherlands","Visualizing Software for Understanding and Analysis, 2009. VISSOFT 2009. 5th IEEE International Workshop on","25-26 Sept. 2009","2009","","","65","72","We present how a combination of static source code analysis, repository analysis, and visualization techniques has been used to effectively get and communicate insight in the development and project management problems of a large industrial code base. This study is an example of how visual analytics can be effectively applied to answer maintenance questions and support decision making in the software industry. We comment on the relevant findings during the study both in terms of used technique and applied methodology and outline the favorable factors that were essential in making this type of assessment successful within tight time and budget constraints.","","978-1-4244-5027-5","978-1-4244-5026-8","10.1109/VISSOF.2009.5336417","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5336417","","Cement industry;Computer architecture;Computer industry;Concrete;Data analysis;Data visualization;Documentation;Embedded software;Project management;Visual analytics","data visualisation;decision making;program diagnostics;program visualisation;project management;software maintenance","decision making;industrial code base;project management problems;repository analysis;software industry;software maintenance;software product assessment;static source code analysis;visual analytics;visualization techniques","","","","4","","18","","","20091117","","IEEE","","IEEE Conference Publications"
"Seesoft-a tool for visualizing line oriented software statistics","Eick, S.G.; Steffen, J.L.; Sumner, E.E., Jr.","AT&T Bell Lab., Naperville, IL, USA","Software Engineering, IEEE Transactions on","Nov 1992","1992","18","11","957","968","The Seesoft software visualization system allows one to analyze up to 50000 lines of code simultaneously by mapping each line of code into a thin row. The color of each row indicates a statistic of interest, e.g., red rows are those most recently changed, and blue are those least recently changed. Seesoft displays data derived from a variety of sources, such as version control systems that track the age, programmer, and purpose of the code (e.g., control ISDN lamps, fix bug in call forwarding); static analyses, (e.g., locations where functions are called); and dynamic analyses (e.g., profiling). By means of direct manipulation and high interaction graphics, the user can manipulate this reduced representation of the code in order to find interesting patterns. Further insight is obtained by using additional windows to display the actual code. Potential applications for Seesoft include discovery, project management, code tuning, and analysis of development methodologies","0098-5589","","","10.1109/32.177365","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=177365","","Control systems;Data visualization;Displays;ISDN;Lamps;Programming profession;Simultaneous localization and mapping;Software systems;Software tools;Statistics","configuration management;data visualisation;project management;software tools","ISDN lamps;Seesoft;call forwarding;code tuning;development methodologies;direct manipulation;discovery;dynamic analyses;high interaction graphics;line oriented software statistics;project management;software visualization system;static analyses;tool;version control systems","","","","98","18","20","","","20020806","","IEEE","IEEE Computer Society","IEEE Journals & Magazines"
